"","data.gene.id.full","data.gene.id"
"17671","ENSG00000130699.18","ENSG00000130699"
"17672","ENSG00000149657.19","ENSG00000149657"
"17673","ENSG00000101182.14","ENSG00000101182"
"17674","ENSG00000184402.14","ENSG00000184402"
"17675","ENSG00000101181.17","ENSG00000101181"
"17676","ENSG00000101180.15","ENSG00000101180"
"17677","ENSG00000130703.15","ENSG00000130703"
"17678","ENSG00000130706.12","ENSG00000130706"
"17679","ENSG00000130702.15","ENSG00000130702"
"17680","ENSG00000171858.17","ENSG00000171858"
"17681","ENSG00000149679.11","ENSG00000149679"
"17682","ENSG00000130701.3","ENSG00000130701"
"17683","ENSG00000130700.6","ENSG00000130700"
"17684","ENSG00000101187.15","ENSG00000101187"
"17685","ENSG00000101188.4","ENSG00000101188"
"17686","ENSG00000101189.6","ENSG00000101189"
"17687","ENSG00000060491.16","ENSG00000060491"
"17688","ENSG00000092758.15","ENSG00000092758"
"17689","ENSG00000101190.12","ENSG00000101190"
